"regulator_symbol","regulator_id","target_symbol","target_id","database","evidence","confidence"
"ABL1","25","SHC3","53358","kegg","Experimental","High"
"ABL1","25","STAT5B","6777","kegg","Experimental","High"
"ABL1","25","CBLB","868","kegg","Experimental","High"
"ABL1","25","CBLC","23624","kegg","Experimental","High"
"ABL1","25","CD55","1604","kegg","Experimental","High"
"ABL1","25","CRK","1398","hprd,kegg","Experimental","High"
"ABL1","25","CRKL","1399","hprd,kegg","Experimental","High"
"ABL1","25","RAC3","5881","kegg","Experimental","High"
"ABL1","25","RB1","5925","hprd,kegg","Experimental","High"
"ABL1","25","SHC1","6464","kegg","Experimental","High"
"ABL1","25","SHC2","25759","kegg","Experimental","High"
"ABL1","25","SHC4","399694","kegg","Experimental","High"
"ABL1","25","STAT5A","6776","kegg","Experimental","High"
"ABL1","25","CBL","867","hprd,kegg","Experimental","High"
"ABL1","25","EPHA1","2041","kegg","Experimental","High"
"ABL1","25","EPHA2","1969","kegg","Experimental","High"
"ABL1","25","EPHA3","2042","kegg","Experimental","High"
"ABL1","25","EPHA4","2043","kegg","Experimental","High"
"ABL1","25","EPHA5","2044","kegg","Experimental","High"
"ABL1","25","EPHA6","285220","kegg","Experimental","High"
"ABL1","25","EPHA7","2045","kegg","Experimental","High"
"ABL1","25","EPHA8","2046","kegg","Experimental","High"
"ABL1","25","EPHB1","2047","kegg","Experimental","High"
"ABL1","25","EPHB2","2048","hprd,kegg","Experimental","High"
"ABL1","25","EPHB3","2049","kegg","Experimental","High"
"ABL1","25","EPHB4","2050","kegg","Experimental","High"
"ABL1","25","EPHB6","2051","kegg","Experimental","High"
"ABL1","25","GRB2","2885","hprd,kegg","Experimental","High"
"ABL1","25","MYC","4609","kegg","Experimental","High"
"ABL1","25","NTRK1","4914","hprd,kegg","Experimental","High"
"ABL1","25","NTRK2","4915","kegg","Experimental","High"
"ABL1","25","NTRK3","4916","kegg","Experimental","High"
"ABL1","25","RAC1","5879","kegg","Experimental","High"
"ABL1","25","RAC2","5880","kegg","Experimental","High"
"AKT1","207","hsa-miR-125b","MIMAT0000423","transmir","Experimental","High"
"AKT1","207","hsa-miR-155","MIMAT0000646","transmir","Experimental","High"
"AKT1","207","hsa-miR-181c","MIMAT0000258","transmir","Experimental","High"
"AKT1","207","hsa-miR-22","MIMAT0000077","transmir","Experimental","High"
"AKT2","208","hsa-miR-22","MIMAT0000077","transmir","Experimental","High"
"AKT3","10000","hsa-miR-22","MIMAT0000077","transmir","Experimental","High"
"APBB1","322","APP","351","hprd,kegg","Experimental","High"
"APC","324","TBL1Y","90665","kegg","Experimental","High"
"APC","324","ARHGEF4","50649","hprd,kegg","Experimental","High"
"APC","324","AXIN1","8312","hprd,kegg","Experimental","High"
"APC","324","AXIN2","8313","hprd,kegg","Experimental","High"
"APC","324","CTNNB1","1499","hprd,kegg","Experimental","High"
"APC","324","DVL1","1855","kegg","Experimental","High"
"APC","324","DVL2","1856","kegg","Experimental","High"
"APC","324","DVL3","1857","kegg","Experimental","High"
"APC","324","TBL1XR1","79718","kegg","Experimental","High"
"APC","324","TBL1X","6907","kegg","Experimental","High"
"AR","367","RPE65","6121","tred","Experimental","High"
"AR","367","hsa-miR-216a","MIMAT0000273","transmir","Experimental","High"
"AR","367","VEGFA","7422","tred","Experimental","High"
"AR","367","KLK3","354","tred,kegg","Experimental","High"
"AR","367","MAPK3","5595","kegg","Experimental","High"
"AR","367","MAPK1","5594","hprd,kegg","Experimental","High"
"AR","367","HSP90B1","7184","kegg","Experimental","High"
"AR","367","HSP90AB1","3326","kegg","Experimental","High"
"AR","367","HSP90AA1","3320","hprd,kegg","Experimental","High"
"AR","367","AR","367","hprd,kegg","Experimental","High"
"AR","367","ABCB1","5243","tred","Experimental","High"
"AR","367","ACAA1","30","tred","Experimental","High"
"AR","367","ACOX1","51","tred","Experimental","High"
"AR","367","ACOX2","8309","tred","Experimental","High"
"AR","367","ACPP","55","tred","Experimental","High"
"AR","367","ACSL1","2180","tred","Experimental","High"
"AR","367","ADAM28","10863","tred","Experimental","High"
"AR","367","ADAMTS3","9508","tred","Experimental","High"
"AR","367","ADAMTS4","9507","tred","Experimental","High"
"AR","367","ADIPOQ","9370","tred","Experimental","High"
"AR","367","ADIPOR1","51094","tred","Experimental","High"
"AR","367","ADIPOR2","79602","tred","Experimental","High"
"AR","367","AKR1B1","231","tred","Experimental","High"
"AR","367","AKT1","207","tred","Experimental","High"
"AR","367","ALB","213","tred","Experimental","High"
"AR","367","ALPP","250","tred","Experimental","High"
"AR","367","AMH","268","tred","Experimental","High"
"AR","367","ANGPTL4","51129","tred","Experimental","High"
"AR","367","APOA1","335","tred","Experimental","High"
"AR","367","APOB","338","tred","Experimental","High"
"AR","367","APOBR","55911","tred","Experimental","High"
"AR","367","APOC3","345","tred","Experimental","High"
"AR","367","APOE","348","tred","Experimental","High"
"AR","367","AR","367","tred","Experimental","High"
"AR","367","AREG","374","tred","Experimental","High"
"AR","367","ASB2","51676","tred","Experimental","High"
"AR","367","ATP2A2","488","tred","Experimental","High"
"AR","367","AVP","551","tred","Experimental","High"
"AR","367","BCL2","596","tred","Experimental","High"
"AR","367","BTF3P11","690","tred","Experimental","High"
"AR","367","C21orf33","8209","tred","Experimental","High"
"AR","367","CASP3","836","tred","Experimental","High"
"AR","367","CCND1","595","tred","Experimental","High"
"AR","367","CCND2","894","tred","Experimental","High"
"AR","367","CCNG1","900","tred","Experimental","High"
"AR","367","CD36","948","tred","Experimental","High"
"AR","367","CD38","952","tred","Experimental","High"
"AR","367","CD40","958","tred","Experimental","High"
"AR","367","CD83","9308","tred","Experimental","High"
"AR","367","CDH13","1012","tred","Experimental","High"
"AR","367","CDK7","1022","tred","Experimental","High"
"AR","367","CDKN1A","1026","tred","Experimental","High"
"AR","367","CETP","1071","tred","Experimental","High"
"AR","367","CITED2","10370","tred","Experimental","High"
"AR","367","CPT1A","1374","tred","Experimental","High"
"AR","367","CPT1B","1375","tred","Experimental","High"
"AR","367","CPT2","1376","tred","Experimental","High"
"AR","367","CRABP2","1382","tred","Experimental","High"
"AR","367","CYP19A1","1588","tred","Experimental","High"
"AR","367","CYP1A1","1543","tred","Experimental","High"
"AR","367","CYP26A1","1592","tred","Experimental","High"
"AR","367","CYP27A1","1593","tred","Experimental","High"
"AR","367","CYP4A11","1579","tred","Experimental","High"
"AR","367","CYP7A1","1581","tred","Experimental","High"
"AR","367","DBI","1622","tred","Experimental","High"
"AR","367","DHRS4","10901","tred","Experimental","High"
"AR","367","DRD1","1812","tred","Experimental","High"
"AR","367","ECM1","1893","tred","Experimental","High"
"AR","367","EDN1","1906","tred","Experimental","High"
"AR","367","EGFR","1956","tred","Experimental","High"
"AR","367","ELF4","2000","tred","Experimental","High"
"AR","367","ELK1","2002","tred","Experimental","High"
"AR","367","ESR1","2099","tred","Experimental","High"
"AR","367","ESR2","2100","tred","Experimental","High"
"AR","367","ETS1","2113","tred","Experimental","High"
"AR","367","F9","2158","tred","Experimental","High"
"AR","367","FABP1","2168","tred","Experimental","High"
"AR","367","FABP3","2170","tred","Experimental","High"
"AR","367","FADS2","9415","tred","Experimental","High"
"AR","367","FBP2","8789","tred","Experimental","High"
"AR","367","FCER1A","2205","tred","Experimental","High"
"AR","367","FGB","2244","tred","Experimental","High"
"AR","367","FGF13","2258","tred","Experimental","High"
"AR","367","FGF2","2247","tred","Experimental","High"
"AR","367","FGF8","2253","tred","Experimental","High"
"AR","367","FGFBP1","9982","tred","Experimental","High"
"AR","367","FGFR1","2260","tred","Experimental","High"
"AR","367","FHL2","2274","tred","Experimental","High"
"AR","367","FOXA1","3169","tred","Experimental","High"
"AR","367","GADD45A","1647","tred","Experimental","High"
"AR","367","GADD45B","4616","tred","Experimental","High"
"AR","367","GADD45G","10912","tred","Experimental","High"
"AR","367","GATA3","2625","tred","Experimental","High"
"AR","367","GCK","2645","tred","Experimental","High"
"AR","367","GDEP","118425","tred","Experimental","High"
"AR","367","GOT1","2805","tred","Experimental","High"
"AR","367","GSTP1","2950","tred","Experimental","High"
"AR","367","GTF2F1","2962","tred","Experimental","High"
"AR","367","H3F3A","3020","tred","Experimental","High"
"AR","367","HES1","3280","tred","Experimental","High"
"AR","367","HMGCS1","3157","tred","Experimental","High"
"AR","367","HMGCS2","3158","tred","Experimental","High"
"AR","367","HNF1A","6927","tred","Experimental","High"
"AR","367","HNF1B","6928","tred","Experimental","High"
"AR","367","HOXA1","3198","tred","Experimental","High"
"AR","367","HOXA4","3201","tred","Experimental","High"
"AR","367","HOXA7","3204","tred","Experimental","High"
"AR","367","HOXB4","3214","tred","Experimental","High"
"AR","367","HOXC8","3224","tred","Experimental","High"
"AR","367","HOXD4","3233","tred","Experimental","High"
"AR","367","HSD11B1","3290","tred","Experimental","High"
"AR","367","HSD17B1","3292","tred","Experimental","High"
"AR","367","IBSP","3381","tred","Experimental","High"
"AR","367","ICAM1","3383","tred","Experimental","High"
"AR","367","IFNAR1","3454","tred","Experimental","High"
"AR","367","IGFBP5","3488","tred","Experimental","High"
"AR","367","IL6ST","3572","tred","Experimental","High"
"AR","367","IL8","3576","tred","Experimental","High"
"AR","367","INS","3630","tred","Experimental","High"
"AR","367","IRAK2","3656","tred","Experimental","High"
"AR","367","JUN","3725","tred","Experimental","High"
"AR","367","KAT5","10524","tred","Experimental","High"
"AR","367","KAT7","11143","tred","Experimental","High"
"AR","367","KCNH4","23415","tred","Experimental","High"
"AR","367","KCNH8","131096","tred","Experimental","High"
"AR","367","KHSRP","8570","tred","Experimental","High"
"AR","367","KLF5","688","tred","Experimental","High"
"AR","367","KLK14","43847","tred","Experimental","High"
"AR","367","KLK15","55554","tred","Experimental","High"
"AR","367","KLK2","3817","tred","Experimental","High"
"AR","367","KLKB1","3818","tred","Experimental","High"
"AR","367","KRT19","3880","tred","Experimental","High"
"AR","367","LCP1","3936","tred","Experimental","High"
"AR","367","LIPA","3988","tred","Experimental","High"
"AR","367","LIPE","3991","tred","Experimental","High"
"AR","367","LPL","4023","tred","Experimental","High"
"AR","367","MAP4K2","5871","tred","Experimental","High"
"AR","367","MED1","5469","tred","Experimental","High"
"AR","367","MIF","4282","tred","Experimental","High"
"AR","367","MMP9","4318","tred","Experimental","High"
"AR","367","MUC1","4582","tred","Experimental","High"
"AR","367","MUC4","4585","tred","Experimental","High"
"AR","367","MUC5AC","4586","tred","Experimental","High"
"AR","367","MYB","4602","tred","Experimental","High"
"AR","367","MYC","4609","tred","Experimental","High"
"AR","367","MYCN","4613","tred","Experimental","High"
"AR","367","MYH6","4624","tred","Experimental","High"
"AR","367","NCOA1","8648","tred","Experimental","High"
"AR","367","NCOA2","10499","tred","Experimental","High"
"AR","367","NCOA3","8202","tred","Experimental","High"
"AR","367","NCOA4","8031","tred","Experimental","High"
"AR","367","NCOA6","23054","tred","Experimental","High"
"AR","367","NCOR1","9611","tred","Experimental","High"
"AR","367","NCOR2","9612","tred","Experimental","High"
"AR","367","NEDD9","4739","tred","Experimental","High"
"AR","367","NFKBIA","4792","tred","Experimental","High"
"AR","367","NKX2-1","7080","tred","Experimental","High"
"AR","367","NOL3","8996","tred","Experimental","High"
"AR","367","NOX1","27035","tred","Experimental","High"
"AR","367","NR1D1","9572","tred","Experimental","High"
"AR","367","NR1H3","10062","tred","Experimental","High"
"AR","367","NRIP1","8204","tred","Experimental","High"
"AR","367","NUDT6","11162","tred","Experimental","High"
"AR","367","PCK1","5105","tred","Experimental","High"
"AR","367","PDHA1","5160","tred","Experimental","High"
"AR","367","PGC","5225","tred","Experimental","High"
"AR","367","PIGR","5284","tred","Experimental","High"
"AR","367","PKD1","5310","tred","Experimental","High"
"AR","367","PLAT","5327","tred","Experimental","High"
"AR","367","PLAU","5328","tred","Experimental","High"
"AR","367","PML","5371","tred","Experimental","High"
"AR","367","PNRC1","10957","tred","Experimental","High"
"AR","367","POU1F1","5449","tred","Experimental","High"
"AR","367","POU2F1","5451","tred","Experimental","High"
"AR","367","POU5F1","5460","tred","Experimental","High"
"AR","367","PPARG","5468","tred","Experimental","High"
"AR","367","PPARGC1A","10891","tred","Experimental","High"
"AR","367","PPBP","5473","tred","Experimental","High"
"AR","367","PPP2R2C","5522","tred","Experimental","High"
"AR","367","PRKCA","5578","tred","Experimental","High"
"AR","367","PTGER2","5732","tred","Experimental","High"
"AR","367","PTGS1","5742","tred","Experimental","High"
"AR","367","PTGS2","5743","tred","Experimental","High"
"AR","367","PTHLH","5744","tred","Experimental","High"
"AR","367","RARA","5914","tred","Experimental","High"
"AR","367","RARB","5915","tred","Experimental","High"
"AR","367","RARG","5916","tred","Experimental","High"
"AR","367","RARRES3","5920","tred","Experimental","High"
"AR","367","RELA","5970","tred","Experimental","High"
"AR","367","RETN","56729","tred","Experimental","High"
"AR","367","RNF4","6047","tred","Experimental","High"
"AR","367","IL2","3558","tred","Experimental","High"
"AR","367","S100A8","6279","tred","Experimental","High"
"AR","367","S100A9","6280","tred","Experimental","High"
"AR","367","SAT1","6303","tred","Experimental","High"
"AR","367","SCARB1","949","tred","Experimental","High"
"AR","367","SCD","6319","tred","Experimental","High"
"AR","367","SCGB1D1","10648","tred","Experimental","High"
"AR","367","SEMA6B","10501","tred","Experimental","High"
"AR","367","SERPINE1","5054","tred","Experimental","High"
"AR","367","SERPINF1","5176","tred","Experimental","High"
"AR","367","SFTPB","6439","tred","Experimental","High"
"AR","367","SLC10A2","6555","tred","Experimental","High"
"AR","367","SLC5A5","6528","tred","Experimental","High"
"AR","367","SMAD3","4088","tred","Experimental","High"
"AR","367","SMARCA1","6594","tred","Experimental","High"
"AR","367","SMARCA2","6595","tred","Experimental","High"
"AR","367","SMPD1","6609","tred","Experimental","High"
"AR","367","SNORD116-1","100033413","tred","Experimental","High"
"AR","367","SOS1","6654","tred","Experimental","High"
"AR","367","STAT3","6774","tred","Experimental","High"
"AR","367","STAT5B","6777","tred","Experimental","High"
"AR","367","STRA6","64220","tred","Experimental","High"
"AR","367","TCF7","6932","tred","Experimental","High"
"AR","367","TG","7038","tred","Experimental","High"
"AR","367","TGFB1","7040","tred","Experimental","High"
"AR","367","TGFB2","7042","tred","Experimental","High"
"AR","367","TGM1","7051","tred","Experimental","High"
"AR","367","THPO","7066","tred","Experimental","High"
"AR","367","TMSB10","9168","tred","Experimental","High"
"AR","367","TNFAIP2","7127","tred","Experimental","High"
"AR","367","TNFRSF11B","4982","tred","Experimental","High"
"AR","367","TNFRSF1B","7133","tred","Experimental","High"
"AR","367","TPO","7173","tred","Experimental","High"
"AR","367","TRPS1","7227","tred","Experimental","High"
"AR","367","UBE3A","7337","tred","Experimental","High"
"AR","367","UCP1","7350","tred","Experimental","High"
"AR","367","UCP2","7351","tred","Experimental","High"
"AR","367","UCP3","7352","tred","Experimental","High"
"AR","367","UGT1A10","54575","tred","Experimental","High"
"AR","367","UGT2B4","7363","tred","Experimental","High"
"AR","367","ZMIZ1","57178","tred","Experimental","High"
"AR","367","IL6","3569","tred","Experimental","High"
"ARHGAP35","2909","CSK","1445","kegg","Experimental","High"
"ARHGAP35","2909","THY1","7070","kegg","Experimental","High"
"ARHGAP35","2909","SRC","6714","hprd,kegg","Experimental","High"
"ARHGAP35","2909","RHOA","387","kegg","Experimental","High"
"ARNT","405","LEP","3952","tred","Experimental","High"
"ARNT","405","HIF1A","3091","hprd,kegg","Experimental","High"
"ARNT","405","EPAS1","2034","hprd,kegg","Experimental","High"
"ARNT2","9915","EPAS1","2034","kegg","Experimental","High"
"ARNT2","9915","HIF1A","3091","hprd,kegg","Experimental","High"
"ARNTL","406","CRY1","1407","hprd,kegg","Experimental","High"
"ARNTL","406","CRY2","1408","kegg","Experimental","High"
"ARNTL","406","CSNK1D","1453","kegg","Experimental","High"
"ARNTL","406","CSNK1E","1454","hprd,kegg","Experimental","High"
"ARNTL","406","PER1","5187","kegg","Experimental","High"
"ARNTL","406","NR1D1","9572","kegg","Experimental","High"
