tf,target,confidence
ASH1L,hsa-miR-375,High
ATF1,GOLPH3,High
ATF1,FLT1,High
ATF1,COPA,High
ATF1,CYP11B1,High
ATF1,CIITA,High
ATF1,CHGA,High
ATF1,CGA,High
ATF1,CFTR,High
ATF1,CDK1,High
ATF1,FLII,High
ATF1,FOS,High
ATF1,GH2,High
ATF1,HLA-G,High
ATF1,HSPA5,High
ATF1,ID2,High
ATF1,IFNAR1,High
ATF1,IL10,High
ATF1,IL1B,High
ATF1,IL6,High
ATF1,INHBA,High
ATF1,JUN,High
ATF1,LOR,High
ATF1,LTC4S,High
ATF1,MED21,High
ATF1,MYH10,High
ATF1,NANS,High
ATF1,NKX6-1,High
ATF1,NOS1,High
ATF1,NR3C2,High
ATF1,NT5E,High
ATF1,NTRK1,High
ATF1,NTRK3,High
ATF1,NTS,High
ATF1,OXT,High
ATF1,PCSK1,High
ATF1,PGK1,High
ATF1,PLAUR,High
ATF1,POLB,High
ATF1,POLG2,High
ATF1,PPP2R4,High
ATF1,PTGS2,High
ATF1,RB1,High
ATF1,SLC19A1,High
ATF1,SLC20A1,High
ATF1,SLC6A4,High
ATF1,SPRR3,High
ATF1,ST3GAL5,High
ATF1,TEAD1,High
ATF1,ERBB2,High
ATF1,EXOC3,High
ATF1,FLI1,High
ATF1,TFRC,High
ATF1,CD8A,High
ATF1,CCNA1,High
ATF1,CCL5,High
ATF1,CCDC65,High
ATF1,CALCA,High
ATF1,BRCA1,High
ATF1,BCL2,High
ATF1,ATM,High
ATF1,AVP,High
ATF1,ARNT2,High
ATF1,AQP3,High
ATF1,APEX1,High
ATF1,AGXT,High
ATF1,AGT,High
ATF1,ADRB3,High
ATF1,ACHE,High
ATF1,TG,High
ATF1,TGFB2,High
ATF1,TNF,High
ATF1,TOP1,High
ATF1,TOP2A,High
ATF1,TRA@,High
ATF1,TRB@,High
ATF1,UBE2I,High
ATF1,UCP1,High
ATF1,UGT8,High
ATF1,VIPR1,High
ATF1,CYP11B2,High
ATF1,DPAGT1,High
ATF1,EGR1,High
ATF1,VIP,High
ATF1,TSPAN31,High
ATF1,TH,High
ATF1,STAT3,High
ATF1,MUC1,High
ATF1,LDHA,High
ATF2,PENK,High
ATF2,ACE,High
ATF2,APOC3,High
ATF2,ATF3,High
ATF2,CCNA1,High
ATF2,CCND1,High
ATF2,CDKN1A,High
ATF2,HLA-G,High
ATF2,IFNB1,High
ATF2,IFNG,High
ATF2,IMPDH2,High
ATF2,INS,High
ATF2,JUN,High
ATF2,NT5E,High
ATF2,PCK1,High
ATF2,PLAT,High
ATF2,PTGS2,High
ATF2,SELE,High
ATF2,TGFB2,High
ATF2,TNF,High
ATF2,ATF2,High
ATF2,CYP11B2,High
ATF2,FN1,High
ATF2,NR4A2,High
ATF2,RB1,High
ATF2,VIP,High
ATF2,CGA,High
ATF2,CYP11B1,High
ATF2,FOS,High
ATF2,HFE,High
ATF2,HLA-E,High
ATF2,HLA-F,High
ATF2,MAPK14,High
ATF2,MAPK13,High
ATF2,MAPK12,High
ATF2,MAPK11,High
ATF3,ASNS,High
ATF4,MKNK2,High
ATF4,RPS6KA5,High
ATF4,RPS6KA4,High
ATF4,RPS6KA3,High
ATF4,RPS6KA2,High
ATF4,RPS6KA1,High
ATF4,PRKX,High
ATF4,PRKACG,High
ATF4,PRKACB,High
ATF4,PRKACA,High
ATF4,CAMK2B,High
ATF4,CAMK2D,High
ATF4,CAMK2G,High
ATF4,CAMK4,High
ATF4,CREBBP,High
ATF4,DDIT3,High
ATF4,EIF2S1,High
ATF4,EP300,High
ATF4,GSK3B,High
ATF4,MAPKAPK2,High
ATF4,MAPKAPK3,High
ATF4,MKNK1,High
ATF4,PPP1R15A,High
ATF4,PTGS2,High
ATF4,PPP1R15A,High
ATF4,HPGD,High
ATF4,DISC1,High
ATF4,CGA,High
ATF4,ASNS,High
ATF4,CAMK2A,High
ATF4,CXCR5,High
ATF4,VIP,High
ATF4,RPS6KA6,High
ATF5,DISC1,High
ATF6,HSPA5,High
ATF6,ATP2A2,High
ATF6,PSEN2,High
ATF6,PSEN1,High
ATF6,DDIT3,High
ATF6,XBP1,High
ATF6,SRF,High
ATF6B,DDIT3,High
BCL6,PRDM1,High
CDX2,hsa-miR-125b,High
CEBPA,HOMER3,High
CEBPA,HP,High
CEBPA,HPX,High
CEBPA,HSPA4,High
CEBPA,IGF1,High
CEBPA,IGFBP1,High
CEBPA,IL10,High
CEBPA,IL12B,High
CEBPA,IL1A,High
CEBPA,IL3,High
CEBPA,IL4,High
CEBPA,IL5,High
CEBPA,IL8,High
CEBPA,IRS1,High
CEBPA,ITGA2,High
CEBPA,ITGA5,High
CEBPA,ITGAL,High
CEBPA,ITGB2,High
CEBPA,IVL,High
CEBPA,KAT7,High
CEBPA,KCNH4,High
CEBPA,KCNH8,High
CEBPA,KCNMA1,High
CEBPA,KIAA0146,High
CEBPA,LBP,High
CEBPA,LDLR,High
CEBPA,LEP,High
CEBPA,LIPC,High
CEBPA,LSP1,High
CEBPA,LTF,High
CEBPA,MAT2A,High
CEBPA,MME,High
CEBPA,MMP11,High
CEBPA,MMP12,High
CEBPA,MPO,High
CEBPA,MSR1,High
CEBPA,MYBL1,High
CEBPA,MYC,High
CEBPA,NFYA,High
CEBPA,NFYB,High
CEBPA,NFYC,High
CEBPA,NOS2,High
CEBPA,NR5A1,High
CEBPA,PCK2,High
CEBPA,PCNA,High
CEBPA,PPARG,High
CEBPA,PREB,High
CEBPA,PSG1,High
CEBPA,PTGS2,High
CEBPA,RB1,High
CEBPA,RNASE2,High
CEBPA,SCD,High
CEBPA,SERPINC1,High
CEBPA,SFTPD,High
CEBPA,SLC10A1,High
CEBPA,SLC9A1,High
CEBPA,SOD1,High
CEBPA,SP1,High
CEBPA,SREBF1,High
CEBPA,SREBF2,High
CEBPA,STAR,High
CEBPA,TF,High
CEBPA,TGFB1,High
CEBPA,TK1,High
CEBPA,TOP2A,High
CEBPA,TP53,High
CEBPA,TPH1,High
CEBPA,TRD@,High
CEBPA,TWF2,High
CEBPA,UBE2L3,High
CEBPA,UBP1,High
CEBPA,UHRF1,High
CEBPA,XDH,High
CEBPA,hsa-miR-34a,High
CEBPA,GDNF,High
CEBPA,GADD45A,High
CEBPA,FN1,High
CEBPA,FGL2,High
CEBPA,FGFBP1,High
CEBPA,FGA,High
CEBPA,FCAR,High
CEBPA,FASN,High
CEBPA,FAS,High
CEBPA,F9,High
CEBPA,F8,High
CEBPA,F3,High
CEBPA,EPX,High
CEBPA,CPS1,High
CEBPA,CSF3R,High
CEBPA,CSRP1,High
CEBPA,IL6,High
CEBPA,SAA1,High
CEBPA,TFAP2A,High
CEBPA,TIMP2,High
CEBPA,TSC22D3,High
CEBPA,EPO,High
CEBPA,ENPP3,High
CEBPA,ELN,High
CEBPA,ELK1,High
CEBPA,RUNX1T1,High
CEBPA,RUNX1,High
CEBPA,FLT3,High
CEBPA,ELANE,High
CEBPA,EHHADH,High
CEBPA,EDN1,High
CEBPA,E2F3,High
CEBPA,E2F2,High
CEBPA,E2F1,High
CEBPA,CYP3A7,High
CEBPA,CYP21A2,High
CEBPA,CXCL9,High
CEBPA,CSN2,High
CEBPA,CSF1,High
CEBPA,CREB1,High
CEBPA,COMT,High
CEBPA,CFTR,High
CEBPA,CETP,High
CEBPA,CEL,High
CEBPA,hsa-miR-29b,High
CEBPA,CDKN1A,High
CEBPA,CDK2,High
CEBPA,CDH13,High
CEBPA,CD19,High
CEBPA,CD14,High
CEBPA,CCR2,High
CEBPA,CCNE1,High
CEBPA,CCND1,High
CEBPA,CCNB1,High
CEBPA,CCL5,High
CEBPA,C8orf76,High
CEBPA,BCL2,High
CEBPA,APOB,High
CEBPA,APOA1,High
CEBPA,ALOX5AP,High
CEBPA,ALB,High
CEBPA,AGXT,High
CEBPA,AGT,High
CEBPA,AEBP1,High
CEBPA,ADIPOQ,High
CEBPA,ACE,High
CEBPA,ACACA,High
CEBPA,ABCC1,High
CEBPA,ABCB1,High
CEBPA,hsa-miR-29a,High
CEBPA,hsa-miR-223,High
CEBPA,hsa-miR-1,High
CEBPA,GPX4,High
CEBPA,GNRHR,High
CEBPA,GSK3A,High
CEBPA,GSK3B,High
CEBPA,GUCY2C,High
CEBPA,HBE1,High
CEBPA,HMGB1,High
CEBPA,HMGCS1,High
CEBPA,HMGCS2,High
CEBPA,HNF4A,High
CEBPB,IL3,High
CEBPB,UGT1A10,High
CEBPB,TRIM26,High
CEBPB,TNFAIP6,High
CEBPB,TNF,High
CEBPB,TGFB1,High
CEBPB,SOD1,High
CEBPB,SMAD4,High
CEBPB,SMAD3,High
CEBPB,SH2D3C,High
CEBPB,SFTPD,High
CEBPB,SAA2,High
CEBPB,PTGS2,High
CEBPB,PTGS1,High
CEBPB,PRL,High
CEBPB,PRG2,High
CEBPB,PPARG,High
CEBPB,POU5F1,High
CEBPB,OTC,High
CEBPB,NOS2,High
CEBPB,MIA,High
CEBPB,MEFV,High
CEBPB,LEP,High
CEBPB,ITGB2,High
CEBPB,INSR,High
CEBPB,IL8,High
CEBPB,IL6,High
CEBPB,IL5,High
CEBPB,IL4,High
CEBPB,IL24,High
CEBPB,IL1B,High
CEBPB,IL1A,High
CEBPB,IL18BP,High
CEBPB,IL17F,High
CEBPB,IL12B,High
CEBPB,IL10,High
CEBPB,IGHG3,High
CEBPB,IGF2,High
CEBPB,ICAM1,High
CEBPB,HSP90AA2,High
CEBPB,HPX,High
CEBPB,TOP1,High
CEBPB,TF,High
CEBPB,SPINK1,High
CEBPB,SAA1,High
CEBPB,CSRP1,High
CEBPB,CSF3R,High
CEBPB,HP,High
CEBPB,HMGCS1,High
CEBPB,GADD45G,High
CEBPB,FURIN,High
CEBPB,FOS,High
CEBPB,F8,High
CEBPB,F3,High
CEBPB,ELN,High
CEBPB,DLC1,High
CEBPB,CYP19A1,High
CEBPB,CRH,High
CEBPB,CHAT,High
CEBPB,CETP,High
CEBPB,CELF1,High
CEBPB,CDH13,High
CEBPB,CD19,High
CEBPB,CD14,High
CEBPB,CCL5,High
CEBPB,CCL11,High
CEBPB,ALB,High
CEBPB,AKR1C1,High
CEBPB,AFP,High
CEBPB,ADM,High
CEBPB,ADH6,High
CEBPB,ABCC2,High
CEBPB,ABCB1,High
CEBPB,hsa-miR-143,High
CEBPD,LEP,High
CEBPD,IL1B,High
CEBPD,IL1A,High
CEBPD,HPX,High
CEBPD,HMGCS1,High
CEBPD,GADD45G,High
CEBPD,C3,High
CEBPD,CCL5,High
CEBPD,CCND1,High
CEBPD,TNF,High
CEBPD,TF,High
CEBPD,SFTPD,High
CEBPD,PTGS2,High
CEBPD,POU5F1,High
CEBPD,NOS2,High
CEBPD,MIA,High
CEBPD,IL6,High
CEBPD,CCNE1,High
CEBPD,CETP,High
CEBPD,CFTR,High
CEBPD,CSRP1,High
CEBPD,CYP19A1,High
CEBPD,ELN,High
CEBPD,F3,High
CEBPD,ALOX5AP,High
CEBPE,LTF,High
CEBPE,SPI1,High
CEBPE,NOL3,High
CEBPE,MYC,High
CEBPE,MYB,High
CEBPE,MPO,High
CEBPE,GATA1,High
CEBPE,ALOX5AP,High
CEBPG,SFTPD,High
CEBPG,IL4,High
CLOCK,PER3,High
CLOCK,RORB,High
CLOCK,RORC,High
CLOCK,PER2,High
CLOCK,PER3,High
CLOCK,BHLHE40,High
CLOCK,BHLHE41,High
CLOCK,CRY1,High
CLOCK,CRY2,High
CLOCK,PER2,High
CLOCK,PER1,High
CLOCK,CSNK1E,High
CLOCK,CSNK1D,High
CLOCK,CRY2,High
CLOCK,CRY1,High
CLOCK,NR1D1,High
CLOCK,PER1,High
CLOCK,RORA,High
CREB1,SLC25A21,High
CREB1,PDE4D,High
CREB1,ARG1,High
CREB1,AQP3,High
CREB1,ANGPTL4,High
CREB1,ADRB3,High
CREB1,ADRB2,High
CREB1,ADRA1D,High
CREB1,ADRA1A,High
CREB1,ACHE,High
CREB1,INS,High
CREB1,JUN,High
CREB1,KAT7,High
CREB1,KCNN3,High
CREB1,LOR,High
CREB1,LTC4S,High
CREB1,ME2,High
CREB1,MED21,High
CREB1,MSMB,High
CREB1,MUC1,High
CREB1,MUC4,High
CREB1,MYH10,High
CREB1,NF1,High
CREB1,NFE2,High
CREB1,NOS1,High
CREB1,NPC1,High
CREB1,NR3C2,High
CREB1,NR5A1,High
CREB1,NRAS,High
CREB1,NTS,High
CREB1,ODC1,High
CREB1,PCDHB11,High
CREB1,PCK1,High
CREB1,PCK2,High
CREB1,PCSK1,High
CREB1,PCSK6,High
CREB1,PDCL,High
CREB1,ATF3,High
CREB1,PDE7A,High
CREB1,PDYN,High
CREB1,PENK,High
CREB1,PLAT,High
CREB1,PMP22,High
CREB1,POLD2,High
CREB1,POLG2,High
CREB1,PPARA,High
CREB1,PPARG,High
CREB1,PPRC1,High
CREB1,PSEN1,High
CREB1,PTGS1,High
CREB1,PTGS2,High
CREB1,PXMP2,High
CREB1,RARB,High
CREB1,REN,High
CREB1,RETN,High
CREB1,REV3L,High
CREB1,RPS3A,High
CREB1,RRM2B,High
CREB1,RUNX1,High
CREB1,SERPINB2,High
CREB1,SFTPA2,High
CREB1,SLC19A1,High
CREB1,SLC20A1,High
CREB1,SLC5A5,High
CREB1,SLC6A4,High
CREB1,SLC9A1,High
CREB1,SPATA2,High
CREB1,SPRY2,High
CREB1,SRM,High
CREB1,SRMS,High
CREB1,ST3GAL5,High
CREB1,STAT3,High
CREB1,TAT,High
CREB1,TBP,High
CREB1,TF,High
CREB1,TFRC,High
CREB1,TG,High
CREB1,TGFB2,High
CREB1,TGFB3,High
CREB1,TH,High
CREB1,TWF2,High
CREB1,THPO,High
CREB1,TIMP1,High
CREB1,TINAGL1,High
CREB1,TNF,High
CREB1,TNFRSF8,High
CREB1,TOP1,High
CREB1,MITF,High
CREB1,VIP,High
CREB1,TGFB1,High
CREB1,SMAD9,High
CREB1,POLB,High
CREB1,NR4A3,High
CREB1,NR4A2,High
CREB1,NR3C1,High
CREB1,MOG,High
CREB1,MCAM,High
CREB1,LYN,High
CREB1,LDHA,High
CREB1,FLT1,High
CREB1,ERF,High
CREB1,DDX5,High
CREB1,CEBPB,High
CREB1,AREG,High
CREB1,AQP2,High
CREB1,hsa-miR-9,High
CREB1,hsa-miR-212,High
CREB1,hsa-miR-132,High
CREB1,UBE2I,High
CREB1,TPO,High
CREB1,TRA@,High
CREB1,CIITA,High
CREB1,CREBBP,High
CREB1,EP300,High
CREB1,GSK3B,High
CREB1,PRKACA,High
CREB1,PRKACB,High
CREB1,PRKACG,High
CREB1,PRKX,High
CREB1,TRB@,High
CREB1,TRD@,High
CREB1,TRH,High
CREB1,TSC22D3,High
CREB1,TPH1,High
CREB1,PTH,High
CREB1,VGF,High
CREB1,UGT8,High
CREB1,UCP1,High
CREB1,INHBA,High
CREB1,IL6,High
CREB1,IL5RA,High
CREB1,IL2,High
CREB1,IL1B,High
CREB1,IL10,High
CREB1,IGFBP1,High
CREB1,IFNGR1,High
CREB1,IFNG,High
CREB1,ID2,High
CREB1,ICAM1,High
CREB1,HTR2A,High
CREB1,HPGD,High
CREB1,HMOX1,High
CREB1,HLA-G,High
CREB1,HLA-DRA,High
CREB1,HLA-DQB1,High
CREB1,HLA-DOB,High
CREB1,HFE,High
CREB1,GSTP1,High
CREB1,GRM5,High
CREB1,GNRHR,High
CREB1,GNRH1,High
CREB1,GH2,High
CREB1,GDNF,High
CREB1,FOS,High
CREB1,FN1,High
CREB1,FLII,High
CREB1,FLI1,High
CREB1,FAS,High
CREB1,F3,High
CREB1,EXO1,High
CREB1,ETV3,High
CREB1,ETF1,High
CREB1,ERBB2,High
CREB1,ELN,High
CREB1,EGR1,High
CREB1,DRD1,High
CREB1,DLD,High
CREB1,DIO2,High
CREB1,DBH,High
CREB1,CYR61,High
CREB1,CYP27B1,High
CREB1,CYP19A1,High
CREB1,CYP11B2,High
CREB1,CYP11B1,High
CREB1,CYP11A1,High
CREB1,CXCR4,High
CREB1,CTF1,High
CREB1,CPT1A,High
CREB1,CIITA,High
CREB1,CHRNA7,High
CREB1,CHGA,High
CREB1,CGA,High
CREB1,CFTR,High
CREB1,CELSR1,High
CREB1,CDK5,High
CREB1,CDK11A,High
CREB1,CDC37,High
CREB1,CD8A,High
CREB1,CD55,High
CREB1,CD4,High
CREB1,CCND1,High
CREB1,CCNA1,High
CREB1,CCL5,High
CREB1,CALCA,High
CREB1,BST1,High
CREB1,BRCA1,High
CREB1,BDKRB1,High
CREB1,BCL2,High
CREB1,BCKDHA,High
CREB1,B3GAT3,High
CREB1,ATP1A1,High
CREB3,PRKACA,High
CREB3,AQP2,High
CREB3,MITF,High
CREB3,EP300,High
CREB3,GSK3B,High
CREB3,PRKACB,High
CREB3,PRKACG,High
CREB3,PRKX,High
CREB3,CREBBP,High
CREB3L1,PRKACG,High
CREB3L1,PRKX,High
CREB3L1,PRKACB,High
CREB3L1,PRKACA,High
CREB3L1,GSK3B,High
CREB3L1,EP300,High
CREB3L1,AQP2,High
CREB3L1,MITF,High
CREB3L1,CREBBP,High
CREB3L2,MITF,High
CREB3L2,AQP2,High
CREB3L3,MITF,High
CREB3L3,PRKACB,High
CREB3L3,AQP2,High
CREB3L3,PRKACA,High
CREB3L3,CREBBP,High
CREB3L3,EP300,High
CREB3L3,PRKACG,High
CREB3L3,GSK3B,High
CREB3L3,PRKX,High
CREB3L4,AQP2,High
CREB3L4,MITF,High
CREB3L4,PRKX,High
CREB3L4,PRKACG,High
CREB3L4,PRKACB,High
CREB3L4,PRKACA,High
CREB3L4,GSK3B,High
CREB3L4,EP300,High
CREB3L4,CREBBP,High
CREB5,PRKX,High
CREB5,PRKACB,High
CREB5,PRKACA,High
CREB5,GSK3B,High
CREB5,EP300,High
CREB5,CREBBP,High
CREB5,AQP2,High
CREB5,PRKACG,High
CREM,ICAM1,High
CTCF,hsa-miR-375,High
DDIT3,BCL2,High
DDIT3,XBP1,High
DDIT3,MAPK11,High
DDIT3,MAPK12,High
DDIT3,MAPK13,High
DDIT3,MAPK14,High
DDIT3,ATF4,High
DDIT3,ATF6,High
DDIT3,ATF6B,High
DDIT3,NFE2L2,High
E2F1,CCDC93,High
E2F1,ACSL1,High
E2F1,ACSM5,High
E2F1,ACTR2,High
E2F1,ACTR5,High
E2F1,ADA,High
E2F1,ADAM8,High
E2F1,ADAMTS14,High
E2F1,ADD3,High
E2F1,ADH6,High
E2F1,AGER,High
E2F1,AGPAT4,High
E2F1,AK3,High
E2F1,ALDH1A1,High
E2F1,ALG12,High
E2F1,ALKBH4,High
E2F1,ALOX5AP,High
E2F1,AMDHD1,High
E2F1,AMMECR1L,High
E2F1,AMPD3,High
E2F1,ANKRD16,High
E2F1,ANKRD26,High
E2F1,ANXA13,High
E2F1,AP1B1,High
E2F1,hsa-miR-18b,High
E2F1,hsa-miR-18a,High
E2F1,hsa-miR-17,High
E2F1,hsa-miR-16,High
E2F1,hsa-miR-15b,High
E2F1,hsa-miR-15a,High
E2F1,hsa-miR-106b,High
E2F1,hsa-miR-106a,High
E2F1,BRD2,High
E2F1,CBX5,High
E2F1,CCNE1,High
E2F1,CDC25A,High
E2F1,DUSP4,High
E2F1,E2F1,High
E2F1,E2F3,High
E2F1,MCM3,High
E2F1,MCM5,High
E2F1,PCNA,High
E2F1,POLA2,High
E2F1,RAD51,High
E2F1,RB1,High
E2F1,RBL1,High
E2F1,UNG,High
E2F1,ZNF785,High
E2F1,ZNF778,High
E2F1,ZNF654,High
E2F1,ZNF616,High
E2F1,ZNF614,High
E2F1,ZNF543,High
E2F1,ZNF540,High
E2F1,ZNF292,High
E2F1,ZNF268,High
E2F1,ZNF26,High
E2F1,ZNF165,High
E2F1,ZMYM5,High
E2F1,ZMYM2,High
E2F1,ZMYM1,High
E2F1,ZKSCAN5,High
E2F1,ZFC3H1,High
E2F1,ZCCHC8,High
E2F1,ZC3H7A,High
E2F1,YME1L1,High
E2F1,YIPF1,High
E2F1,XPNPEP1,High
E2F1,XAGE5,High
E2F1,XAGE2,High
E2F1,XAGE1C,High
E2F1,WNT1,High
E2F1,WDR45,High
E2F1,WDR3,High
E2F1,WDR25,High
E2F1,WBP4,High
E2F1,WBP1L,High
E2F1,WAPAL,High
E2F1,VPS4A,High
E2F1,VMP1,High
E2F1,UTRN,High
E2F1,USP1,High
E2F1,UQCRB,High
E2F1,UPF3B,High
E2F1,UNC119,High
E2F1,UMPS,High
E2F1,UBP1,High
E2F1,UBN1,High
E2F1,UBL7,High
E2F1,TXNL1,High
E2F1,TXNDC15,High
E2F1,TUBA4A,High
E2F1,TTC6,High
E2F1,TST,High
E2F1,TSPY2,High
E2F1,TSPAN6,High
E2F1,TSNARE1,High
E2F1,TSC1,High
E2F1,TRRAP,High
E2F1,TRPM2,High
E2F1,TRPC7,High
E2F1,TRIT1,High
E2F1,TRIM69,High
E2F1,TRIM45,High
E2F1,TRERF1,High
E2F1,TPRKB,High
E2F1,TP73,High
E2F1,TOR1B,High
E2F1,TOP2A,High
E2F1,TOP1,High
E2F1,TMOD3,High
E2F1,TMEM47,High
E2F1,TMEM186,High
E2F1,TMEM132A,High
E2F1,TMEM105,High
E2F1,TMCO5A,High
E2F1,TMBIM1,High
E2F1,TK1,High
E2F1,TIMP1,High
E2F1,TIGD3,High
E2F1,THOC6,High
E2F1,THOC5,High
E2F1,TGFB2,High
E2F1,TFIP11,High
E2F1,TBCC,High
E2F1,TBC1D21,High
E2F1,TBC1D16,High
E2F1,TAS1R2,High
E2F1,TAF6,High
E2F1,TAF5L,High
E2F1,TAF1C,High
E2F1,SYCP3,High
E2F1,SULT1A2,High
E2F1,SULF2,High
E2F1,SUCLG1,High
E2F1,STX3,High
E2F1,STX11,High
E2F1,STK4,High
E2F1,STARD13,High
E2F1,STAM,High
E2F1,ST6GALNAC2,High
E2F1,ST13,High
E2F1,SSX8,High
E2F1,SSX2,High
E2F1,SSTR1,High
E2F1,SSR4,High
E2F1,SSFA2,High
E2F1,SRXN1,High
E2F1,SPOCK1,High
E2F1,SPG21,High
E2F1,SPCS1,High
E2F1,SPANXA1,High
E2F1,SP110,High
