tf,target,confidence
AR,RPE65,High
AR,hsa-miR-216a,High
AR,VEGFA,High
AR,KLK3,High
AR,MAPK3,High
AR,MAPK1,High
AR,HSP90B1,High
AR,HSP90AB1,High
AR,HSP90AA1,High
AR,AR,High
AR,ABCB1,High
AR,ACAA1,High
AR,ACOX1,High
AR,ACOX2,High
AR,ACPP,High
AR,ACSL1,High
AR,ADAM28,High
AR,ADAMTS3,High
AR,ADAMTS4,High
AR,ADIPOQ,High
AR,ADIPOR1,High
AR,ADIPOR2,High
AR,AKR1B1,High
AR,AKT1,High
AR,ALB,High
AR,ALPP,High
AR,AMH,High
AR,ANGPTL4,High
AR,APOA1,High
AR,APOB,High
AR,APOBR,High
AR,APOC3,High
AR,APOE,High
AR,AR,High
AR,AREG,High
AR,ASB2,High
AR,ATP2A2,High
AR,AVP,High
AR,BCL2,High
AR,BTF3P11,High
AR,C21orf33,High
AR,CASP3,High
AR,CCND1,High
AR,CCND2,High
AR,CCNG1,High
AR,CD36,High
AR,CD38,High
AR,CD40,High
AR,CD83,High
AR,CDH13,High
AR,CDK7,High
AR,CDKN1A,High
AR,CETP,High
AR,CITED2,High
AR,CPT1A,High
AR,CPT1B,High
AR,CPT2,High
AR,CRABP2,High
AR,CYP19A1,High
AR,CYP1A1,High
AR,CYP26A1,High
AR,CYP27A1,High
AR,CYP4A11,High
AR,CYP7A1,High
AR,DBI,High
AR,DHRS4,High
AR,DRD1,High
AR,ECM1,High
AR,EDN1,High
AR,EGFR,High
AR,ELF4,High
AR,ELK1,High
AR,ESR1,High
AR,ESR2,High
AR,ETS1,High
AR,F9,High
AR,FABP1,High
AR,FABP3,High
AR,FADS2,High
AR,FBP2,High
AR,FCER1A,High
AR,FGB,High
AR,FGF13,High
AR,FGF2,High
AR,FGF8,High
AR,FGFBP1,High
AR,FGFR1,High
AR,FHL2,High
AR,FOXA1,High
AR,GADD45A,High
AR,GADD45B,High
AR,GADD45G,High
AR,GATA3,High
AR,GCK,High
AR,GDEP,High
AR,GOT1,High
AR,GSTP1,High
AR,GTF2F1,High
AR,H3F3A,High
AR,HES1,High
AR,HMGCS1,High
AR,HMGCS2,High
AR,HNF1A,High
AR,HNF1B,High
AR,HOXA1,High
AR,HOXA4,High
AR,HOXA7,High
AR,HOXB4,High
AR,HOXC8,High
AR,HOXD4,High
AR,HSD11B1,High
AR,HSD17B1,High
AR,IBSP,High
AR,ICAM1,High
AR,IFNAR1,High
AR,IGFBP5,High
AR,IL6ST,High
AR,IL8,High
AR,INS,High
AR,IRAK2,High
AR,JUN,High
AR,KAT5,High
AR,KAT7,High
AR,KCNH4,High
AR,KCNH8,High
AR,KHSRP,High
AR,KLF5,High
AR,KLK14,High
AR,KLK15,High
AR,KLK2,High
AR,KLKB1,High
AR,KRT19,High
AR,LCP1,High
AR,LIPA,High
AR,LIPE,High
AR,LPL,High
AR,MAP4K2,High
AR,MED1,High
AR,MIF,High
AR,MMP9,High
AR,MUC1,High
AR,MUC4,High
AR,MUC5AC,High
AR,MYB,High
AR,MYC,High
AR,MYCN,High
AR,MYH6,High
AR,NCOA1,High
AR,NCOA2,High
AR,NCOA3,High
AR,NCOA4,High
AR,NCOA6,High
AR,NCOR1,High
AR,NCOR2,High
AR,NEDD9,High
AR,NFKBIA,High
AR,NKX2-1,High
AR,NOL3,High
AR,NOX1,High
AR,NR1D1,High
AR,NR1H3,High
AR,NRIP1,High
AR,NUDT6,High
AR,PCK1,High
AR,PDHA1,High
AR,PGC,High
AR,PIGR,High
AR,PKD1,High
AR,PLAT,High
AR,PLAU,High
AR,PML,High
AR,PNRC1,High
AR,POU1F1,High
AR,POU2F1,High
AR,POU5F1,High
AR,PPARG,High
AR,PPARGC1A,High
AR,PPBP,High
AR,PPP2R2C,High
AR,PRKCA,High
AR,PTGER2,High
AR,PTGS1,High
AR,PTGS2,High
AR,PTHLH,High
AR,RARA,High
AR,RARB,High
AR,RARG,High
AR,RARRES3,High
AR,RELA,High
AR,RETN,High
AR,RNF4,High
AR,IL2,High
AR,S100A8,High
AR,S100A9,High
AR,SAT1,High
AR,SCARB1,High
AR,SCD,High
AR,SCGB1D1,High
AR,SEMA6B,High
AR,SERPINE1,High
AR,SERPINF1,High
AR,SFTPB,High
AR,SLC10A2,High
AR,SLC5A5,High
AR,SMAD3,High
AR,SMARCA1,High
AR,SMARCA2,High
AR,SMPD1,High
AR,SNORD116-1,High
AR,SOS1,High
AR,STAT3,High
AR,STAT5B,High
AR,STRA6,High
AR,TCF7,High
AR,TG,High
AR,TGFB1,High
AR,TGFB2,High
AR,TGM1,High
AR,THPO,High
AR,TMSB10,High
AR,TNFAIP2,High
AR,TNFRSF11B,High
AR,TNFRSF1B,High
AR,TPO,High
AR,TRPS1,High
AR,UBE3A,High
AR,UCP1,High
AR,UCP2,High
AR,UCP3,High
AR,UGT1A10,High
AR,UGT2B4,High
AR,ZMIZ1,High
AR,IL6,High
ARHGAP35,CSK,High
ARHGAP35,THY1,High
ARHGAP35,SRC,High
ARHGAP35,RHOA,High
ARNT,LEP,High
ARNT,HIF1A,High
ARNT,EPAS1,High
ARNT2,EPAS1,High
ARNT2,HIF1A,High
ARNTL,CRY1,High
ARNTL,CRY2,High
ARNTL,CSNK1D,High
ARNTL,CSNK1E,High
ARNTL,PER1,High
ARNTL,NR1D1,High
ARNTL,CRY2,High
ARNTL,CRY1,High
ARNTL,BHLHE41,High
ARNTL,BHLHE40,High
ARNTL,PER2,High
ARNTL,RORA,High
ARNTL,PER3,High
ARNTL,PER2,High
ARNTL,PER1,High
ARNTL,PER3,High
ARNTL,RORC,High
ARNTL,RORB,High
